Player,First_Year,Last_Year,Years_Played,Last_Age,Games,Games_Started,Targets,Receptions,Receiving_Yards,Receiving_TDs,First_Downs,Fumbles,Teams,Yards_Per_Reception,Catch_Rate,TD_Rate,Yards_Per_Game,TD_Per_Game,First_Down_Rate,Player_Score,Tier,All_Time_Rank,Experience_Level,Prime_Years,Prime_Rating
Trenton Irwin,2020,2023,4,28,33,7,62.0,43,586,5,28,2.0,CIN,13.6,69.4,11.6,17.8,0.15,65.1,20.2,Great,485,Minimal,,
Trevor Davis,2016,2019,3,26,41,4,25.0,16,205,1,8,5.0,"3TM, GNB",12.8,64.0,6.2,5.0,0.02,50.0,13.6,Average,907,Minimal,,
Trevor Gaylor,2000,2002,3,25,34,7,119.0,52,784,4,40,0.0,"ATL, SDG",15.1,43.7,7.7,23.1,0.12,76.9,21.7,Great,426,Minimal,,
Trevor Insley,2001,2001,1,24,11,0,21.0,14,165,1,10,0.0,IND,11.8,66.7,7.1,15.0,0.09,71.4,19.1,Good,546,Minimal,,
Trey Palmer,2023,2023,1,22,17,8,68.0,39,385,3,17,3.0,TAM,9.9,57.4,7.7,22.6,0.18,43.6,18.2,Good,587,Minimal,,
Trey Quinn,2018,2019,2,24,15,8,57.0,35,273,2,15,1.0,WAS,7.8,61.4,5.7,18.2,0.13,42.9,16.0,Good,746,Minimal,,
Treylon Burks,2022,2023,2,23,22,15,84.0,49,665,1,27,0.0,TEN,13.6,58.3,2.0,30.2,0.05,55.1,18.7,Good,563,Minimal,,
Triandos Luke,2004,2004,1,23,10,0,8.0,6,52,0,4,2.0,DEN,8.7,75.0,0.0,5.2,0.0,66.7,13.8,Average,891,Minimal,,
Trindon Holliday,2012,2012,1,26,15,0,2.0,2,17,0,2,6.0,2TM,8.5,100.0,0.0,1.1,0.0,100.0,15.6,Average,771,Minimal,,
Trinity Benson,2021,2021,1,24,8,2,22.0,10,103,0,4,0.0,DET,10.3,45.5,0.0,12.9,0.0,40.0,11.6,Below Average,1042,Minimal,,
