Player,First_Year,Last_Year,Years_Played,Last_Age,Games,Games_Started,Completions,Attempts,Passing_Yards,Passing_TDs,Interceptions,Average_Passer_Rating,Times_Sacked,Sack_Yards_Lost,Total_Wins,Total_Losses,Total_Ties,Teams,Completion_Percentage,TD_Percentage,Int_Percentage,Yards_Per_Attempt,Win_Percentage,QB_Score,Tier,All_Time_Rank,Prime_Years,Prime_Rating,Era,Era_Avg_pass_rating,Era_Avg_pass_yds,Era_Avg_pass_td,Era_Avg_pass_int,Era_Avg_pass_cmp,Era_Avg_pass_att,Average_Passer_Rating_vs_era,Passing_Yards_vs_era,Passing_TDs_vs_era
Marcus Mariota,2015,2023,9,30,90,74,1327,2118,15820,93,55,84.57777777777778,186,1198,34,40,0,"ATL, LVR, PHI, TEN",62.7,4.4,2.6,7.5,45.9,13.4,Unranked,65,2018-2022,90.9,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,4.5,810.9,769.2
Mark Brunell,2000,2011,10,41,118,83,1464,2480,16500,98,56,78.32,209,1349,34,49,0,"JAX, NOR, NYJ, WAS",59.0,4.0,2.3,6.7,41.0,14.8,Unranked,59,2000-2002,84.6,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,5.7,1022.6,1042.2
Mark Hartsell,2000,2000,1,27,1,0,0,1,0,0,0,39.6,0,0,0,0,0,CHI,0.0,0.0,0.0,0.0,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-46.6,-100.0,-100.0
Mark Rypien,2001,2001,1,39,4,0,5,9,57,0,0,74.8,1,6,0,0,0,IND,55.6,0.0,0.0,6.3,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,0.9,-96.1,-100.0
Mark Sanchez,2009,2018,8,32,79,73,1314,2320,15357,86,89,63.85000000000001,168,1090,37,36,0,"DAL, NYJ, PHI, WAS",56.6,3.7,3.8,6.6,50.7,12.1,Unranked,72,2011-2014,77.8,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-14.9,903.7,847.1
Marques Tuiasosopo,2001,2008,5,29,10,2,49,90,554,2,7,60.56,10,70,0,2,0,OAK,54.4,2.2,7.8,6.2,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-18.3,-62.3,-76.7
Mason Rudolph,2019,2023,4,28,21,13,291,458,3085,19,11,89.625,22,175,8,4,1,PIT,63.5,4.1,2.4,6.7,66.7,2.1,Unranked,144,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,10.8,77.6,77.6
Matt Barkley,2013,2020,6,30,19,7,212,363,2699,11,22,66.96666666666665,13,92,2,5,0,"BUF, CHI, PHI",58.4,3.0,6.1,7.4,28.6,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-17.2,55.4,2.8
Matt Cassel,2005,2018,15,36,115,88,1697,2887,18784,109,89,68.68666666666667,224,1243,37,51,0,"2TM, DAL, DET, KAN, MIN, NWE, TEN",58.8,3.8,3.1,6.5,42.0,15.9,Unranked,56,2008-2010,84.1,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-8.4,1127.7,1100.4
Matt Flynn,2008,2014,9,29,58,12,343,557,3933,25,16,73.5,63,344,5,7,0,"2TM, GNB, OAK, SEA",61.6,4.5,2.9,7.1,41.7,1.1,Unranked,155,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-2.0,157.1,175.3
Matt Gutierrez,2007,2009,2,25,6,0,2,2,18,0,0,98.95,0,0,0,0,0,"KAN, NWE",100.0,0.0,0.0,9.0,0.0,3.6,Unranked,127,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,31.9,-98.8,-100.0
Matt Hasselbeck,2000,2015,16,40,193,160,3219,5320,36597,211,153,81.23124999999999,359,2251,85,75,0,"GNB, IND, SEA, TEN",60.5,4.0,2.9,6.9,53.1,37.7,Unranked,15,2003-2005,90.0,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,9.6,2389.9,2359.2
Matt Leinart,2006,2012,6,29,33,18,366,641,4065,15,21,72.53333333333335,30,221,8,10,0,"ARI, HOU, OAK",57.1,2.3,3.3,6.3,44.4,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-3.3,165.7,65.2
Matt Lytle,2001,2001,1,26,3,1,17,30,133,1,3,39.3,3,24,0,1,0,CAR,56.7,3.3,10.0,4.4,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-47.0,-91.0,-88.3
Matt Mauck,2005,2005,1,26,2,1,15,27,136,0,1,53.9,1,8,0,1,0,TEN,55.6,0.0,3.7,5.0,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-28.1,-91.1,-100.0
Matt McGloin,2013,2016,4,27,13,7,161,277,1868,11,11,71.44999999999999,9,81,1,6,0,OAK,58.1,4.0,4.0,6.7,14.3,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-11.7,7.6,2.8
Matt Moore,2007,2019,11,35,55,32,645,1074,7597,49,36,81.66363636363637,87,606,16,16,0,"CAR, KAN, MIA",60.1,4.6,3.4,7.1,50.0,6.3,Unranked,101,2009-2011,80.4,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,8.9,396.5,439.6
Matt Ryan,2008,2022,15,37,234,234,5551,8464,62792,381,183,93.31333333333333,488,3264,124,109,1,"ATL, IND",65.6,4.5,2.2,7.4,53.2,58.3,Unranked,6,2016-2018,105.5,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,24.4,4003.9,4096.0
Matt Schaub,2004,2019,15,38,154,93,2148,3348,25467,136,91,78.76,180,1245,47,46,0,"ATL, BAL, HOU, OAK",64.2,4.1,2.7,7.6,50.5,21.5,Unranked,38,2009-2011,95.8,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,5.0,1564.5,1397.8
Matt Simms,2013,2014,2,26,4,0,19,39,195,1,1,58.5,4,23,0,0,0,NYJ,48.7,2.6,2.6,5.0,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-27.7,-88.8,-90.7
Matthew Stafford,2009,2023,15,35,206,206,4834,7649,56047,357,180,90.92000000000002,474,3152,98,107,1,"DET, LAR",63.2,4.7,2.4,7.3,47.8,53.8,Unranked,9,2019-2021,101.7,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,21.2,3563.1,3831.7
Max Hall,2010,2010,1,25,6,3,39,78,370,1,6,35.7,14,90,1,2,0,ARI,50.0,1.3,7.7,4.7,33.3,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-52.4,-75.8,-89.0
Michael Bishop,2000,2000,1,24,8,0,3,9,80,1,1,64.4,0,0,0,0,0,NWE,33.3,11.1,11.1,8.9,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-13.1,-94.6,-88.3
Michael Vick,2001,2015,13,35,143,115,1807,3217,22464,133,88,79.36153846153846,316,1879,61,51,1,"ATL, NYJ, PHI, PIT",56.2,4.1,2.7,7.0,54.5,22.4,Unranked,34,2010-2012,87.7,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,7.1,1428.4,1450.1
Mike Glennon,2013,2021,8,32,40,31,689,1147,7025,47,35,90.0,83,612,6,25,0,"ARI, CHI, JAX, NYG, OAK, TAM",60.1,4.1,3.1,6.1,19.4,6.4,Unranked,99,2013-2017,81.4,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,11.2,304.5,339.3
Mike Kafka,2011,2011,1,24,4,0,11,16,107,0,2,47.7,1,6,0,0,0,PHI,68.8,0.0,12.5,6.7,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-36.4,-93.0,-100.0
Mike McMahon,2001,2005,5,26,29,14,229,515,2867,15,21,49.4,55,338,3,11,0,"DET, PHI",44.5,2.9,4.1,5.6,21.4,0.0,Unranked,172,2001-2005,59.2,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-33.3,95.1,74.8
Mike White,2021,2023,3,28,14,7,196,313,2219,9,13,89.63333333333333,13,94,2,5,0,"MIA, NYJ",62.6,2.9,4.2,7.1,28.6,1.4,Unranked,153,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,10.8,27.8,-15.9
Mitchell Trubisky,2017,2023,7,29,69,57,1200,1872,12536,72,48,78.54285714285713,129,808,31,26,0,"BUF, CHI, PIT",64.1,3.8,2.6,6.7,54.4,9.4,Unranked,85,2018-2020,90.6,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-2.9,621.8,572.9
Moses Moreno,2000,2000,1,25,6,2,27,53,241,0,2,47.8,8,51,0,2,0,SDG,50.9,0.0,3.8,4.5,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-35.5,-83.6,-100.0
Nate Sudfeld,2017,2022,4,29,6,0,25,37,188,1,1,78.23333333333333,6,47,0,0,0,"DET, PHI",67.6,2.7,2.7,5.1,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-3.3,-89.2,-90.7
Nathan Peterman,2017,2023,5,29,14,5,85,160,712,4,13,52.65,12,66,1,4,0,"BUF, CHI, LVR",53.1,2.5,8.1,4.4,20.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-34.9,-59.0,-62.6
Neil O'Donnell,2000,2003,4,37,17,3,99,172,1282,6,6,80.55,9,81,2,1,0,TEN,57.6,3.5,3.5,7.5,66.7,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,8.7,-12.8,-30.1
Nick Foles,2012,2022,11,33,71,58,1302,2087,14227,82,47,84.39090909090909,127,875,29,29,0,"CHI, IND, JAX, KAN, PHI, STL",62.4,3.9,2.3,6.8,50.0,11.1,Unranked,75,2012-2014,93.2,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,4.3,719.2,666.4
