Player,First_Year,Last_Year,Years_Played,Last_Age,Games,Games_Started,Completions,Attempts,Passing_Yards,Passing_TDs,Interceptions,Average_Passer_Rating,Times_Sacked,Sack_Yards_Lost,Total_Wins,Total_Losses,Total_Ties,Teams,Completion_Percentage,TD_Percentage,Int_Percentage,Yards_Per_Attempt,Win_Percentage,QB_Score,Tier,All_Time_Rank,Prime_Years,Prime_Rating,Era,Era_Avg_pass_rating,Era_Avg_pass_yds,Era_Avg_pass_td,Era_Avg_pass_int,Era_Avg_pass_cmp,Era_Avg_pass_att,Average_Passer_Rating_vs_era,Passing_Yards_vs_era,Passing_TDs_vs_era
A.J. Feeley,2001,2011,6,34,28,18,425,762,4618,28,31,83.53333333333333,44,276,8,10,0,"MIA, PHI, STL",55.8,3.7,4.1,6.1,44.4,3.4,Unranked,130,2002-2007,66.1,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,12.7,214.2,226.3
A.J. McCarron,2015,2023,6,33,18,4,113,179,1192,6,3,77.93333333333332,21,143,2,2,0,"CIN, HOU, OAK",63.1,3.4,1.7,6.7,50.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-3.7,-31.4,-43.9
Aaron Brooks,2000,2006,7,30,93,90,1673,2963,20261,123,92,77.45714285714287,235,1454,38,52,0,"NOR, OAK",56.5,4.2,3.1,6.8,42.2,20.1,Unranked,44,2002-2004,82.8,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,4.5,1278.5,1333.6
Aaron Rodgers,2005,2023,19,40,231,224,5001,7661,59055,475,105,94.26315789473684,531,3606,148,75,1,"GNB, NYJ",65.3,6.2,1.4,7.7,66.4,57.0,Unranked,7,2011-2013,111.8,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,25.7,3759.7,5131.3
Aidan O'Connell,2023,2023,1,25,11,10,213,343,2218,12,7,83.9,24,173,5,5,0,LVR,62.1,3.5,2.0,6.5,50.0,0.2,Unranked,169,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,3.7,27.7,12.1
Akili Smith,2000,2002,3,27,15,13,135,308,1407,3,7,53.56666666666666,40,217,2,11,0,CIN,43.8,1.0,2.3,4.6,15.4,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-27.7,-4.3,-65.0
Alex Smith,2005,2020,14,36,174,167,3250,5193,35650,199,109,83.51428571428572,432,2463,99,67,1,"KAN, SFO, WAS",62.6,3.8,2.1,6.9,59.6,32.4,Unranked,22,2015-2017,97.1,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,11.4,2230.0,2091.6
Alex Tanney,2015,2019,2,32,2,0,11,15,100,1,0,97.05000000000001,3,34,0,0,0,"NYG, TEN",73.3,6.7,0.0,6.7,0.0,0.9,Unranked,158,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,19.9,-94.2,-90.7
Alex Van Pelt,2000,2003,4,33,21,8,189,329,2177,12,14,62.099999999999994,15,80,2,6,0,BUF,57.4,3.6,4.3,6.6,25.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-16.2,48.1,39.9
Andrew Luck,2012,2018,6,29,86,86,2000,3290,23671,171,83,88.33333333333333,174,1124,53,33,0,IND,60.8,5.2,2.5,7.2,61.6,21.7,Unranked,36,2015-2018,90.0,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,9.2,1263.0,1498.1
Andrew Walter,2006,2008,3,26,15,9,174,333,1919,3,16,53.70000000000001,51,295,2,7,0,OAK,52.3,0.9,4.8,5.8,22.2,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-28.4,25.4,-67.0
Andy Dalton,2011,2023,13,36,169,163,3408,5454,38511,246,144,87.72307692307692,348,2281,83,78,2,"CAR, CHI, CIN, DAL, NOR",62.5,4.5,2.6,7.1,51.6,37.9,Unranked,14,2015-2017,94.9,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,17.0,2417.0,2609.3
Anthony Brown,2022,2022,1,24,2,1,22,49,302,0,2,48.2,5,14,0,1,0,BAL,44.9,0.0,4.1,6.2,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-40.4,-82.6,-100.0
Anthony Richardson,2023,2023,1,21,4,4,50,84,577,3,1,87.3,7,29,2,2,0,IND,59.5,3.6,1.2,6.9,50.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,7.9,-66.8,-72.0
Anthony Wright,2000,2007,6,31,31,19,332,605,3590,20,25,64.35000000000001,55,394,8,11,0,"BAL, CIN, DAL, NYG",54.9,3.3,4.1,5.9,42.1,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-13.2,144.2,133.1
Armanti Edwards,2010,2012,3,24,35,0,2,3,11,0,0,77.1,0,0,0,0,0,CAR,66.7,0.0,0.0,3.7,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,2.8,-99.3,-100.0
Austin Davis,2014,2015,2,26,13,10,236,378,2548,13,12,75.65,40,275,3,7,0,"CLE, STL",62.4,3.4,3.2,6.7,30.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-6.5,46.7,21.5
B.J. Daniels,2015,2015,2,27,10,0,2,4,14,0,0,58.3,0,0,0,0,0,"2TM, HOU",50.0,0.0,0.0,3.5,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-27.9,-99.2,-100.0
Bailey Zappe,2022,2023,2,24,14,8,192,304,2053,11,12,84.80000000000001,31,231,4,4,0,NWE,63.2,3.6,3.9,6.8,50.0,0.8,Unranked,162,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,4.8,18.2,2.8
Baker Mayfield,2018,2023,8,28,101,96,1951,3160,22495,140,82,85.7375,246,1555,42,54,0,"2TM, CAR, CLE, LAR, TAM",61.7,4.4,2.6,7.1,43.8,20.1,Unranked,44,2018-2020,89.5,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,6.0,1195.3,1208.4
Ben DiNucci,2020,2020,1,24,3,1,23,43,219,0,0,67.9,7,73,0,1,0,DAL,53.5,0.0,0.0,5.1,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-16.1,-87.4,-100.0
Ben Roethlisberger,2004,2021,18,39,249,247,5440,8443,64088,418,211,92.38333333333333,554,3677,165,81,1,PIT,64.4,5.0,2.5,7.6,67.1,62.8,Unranked,4,2014-2016,97.7,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,23.2,4088.6,4503.5
Billy Volek,2001,2010,8,34,37,10,337,561,3754,27,15,78.0142857142857,49,320,3,7,0,"SDG, TEN",60.1,4.8,2.7,6.7,30.0,1.5,Unranked,152,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,5.3,155.4,214.7
Blaine Gabbert,2011,2023,12,34,69,49,882,1568,9487,51,50,78.08333333333333,141,942,14,35,0,"ARI, JAX, KAN, SFO, TAM, TEN",56.2,3.3,3.2,6.1,28.6,7.4,Unranked,94,2012-2016,77.3,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,4.1,520.0,461.7
Blake Bortles,2014,2019,6,27,78,73,1562,2634,17649,103,75,76.2,195,1158,24,49,0,"JAX, LAR",59.3,3.9,2.8,6.7,32.9,14.2,Unranked,60,2015-2017,83.9,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-5.8,916.2,862.6
Bobby Hoying,2000,2000,1,28,4,0,0,2,0,0,0,39.6,0,0,0,0,0,OAK,0.0,0.0,0.0,0.0,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-46.6,-100.0,-100.0
Brad Johnson,2000,2008,9,40,123,86,1770,2870,18586,98,80,78.1888888888889,174,1103,47,39,0,"DAL, MIN, TAM, WAS",61.7,3.4,2.8,6.5,54.7,17.0,Unranked,51,2002-2004,84.6,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,5.5,1164.5,1042.2
Bradlee Van Pelt,2005,2005,1,25,3,0,2,8,7,0,0,39.6,0,0,0,0,0,DEN,25.0,0.0,0.0,0.9,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-47.2,-99.5,-100.0
Brady Quinn,2007,2012,4,28,24,20,296,550,3043,12,17,62.675,41,236,4,16,0,"CLE, KAN",53.8,2.2,3.1,5.5,20.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-16.4,98.9,32.2
Brandon Allen,2019,2022,4,30,15,9,149,263,1611,10,6,82.275,21,143,2,7,0,"CIN, DEN",56.7,3.8,2.3,6.1,22.2,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,1.7,-7.2,-6.5
Brandon Weeden,2012,2015,6,32,40,29,656,1105,7505,36,32,87.53333333333335,76,529,7,22,0,"2TM, CLE, DAL, HOU",59.4,3.3,2.9,6.8,24.1,5.6,Unranked,106,2012-2015,79.9,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,8.2,332.1,236.4
Brett Basanez,2006,2006,1,23,1,0,6,11,56,0,1,30.9,0,0,0,0,0,CAR,54.5,0.0,9.1,5.1,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-58.8,-96.3,-100.0
Brett Favre,2000,2010,11,41,173,173,3641,5818,40944,273,195,85.26363636363637,258,1801,104,69,0,"GNB, MIN, NYJ",62.6,4.7,3.4,7.0,60.1,45.4,Unranked,11,2007-2009,94.6,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,15.1,2685.6,3081.8
Brett Hundley,2016,2019,3,26,18,9,199,337,1902,9,13,64.55,31,208,3,6,0,"ARI, GNB",59.1,2.7,3.9,5.6,33.3,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-20.2,9.5,-15.9
Brett Rypien,2020,2023,4,27,10,4,98,168,950,4,9,54.75,11,65,2,2,0,"DEN, LAR",58.3,2.4,5.4,5.7,50.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-32.3,-45.3,-62.6
Brian Brohm,2009,2010,2,25,3,2,27,52,252,0,5,30.55,5,13,0,2,0,BUF,51.9,0.0,9.6,4.8,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-59.3,-83.5,-100.0
Brian Griese,2000,2008,9,33,78,70,1490,2341,16406,105,84,80.03333333333335,166,1150,41,29,0,"CHI, DEN, MIA, TAM",63.6,4.5,3.6,7.0,58.6,17.3,Unranked,49,2000-2002,89.0,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,8.0,1016.2,1123.8
Brian Hoyer,2009,2023,17,38,90,47,1048,1771,12186,57,41,82.11764705882354,106,764,16,31,0,"2TM, ARI, CHI, CLE, HOU, IND, LVR, NWE, SFO",59.2,3.2,2.3,6.9,34.0,8.8,Unranked,86,2014-2016,88.6,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,9.5,696.4,527.8
Brian St. Pierre,2004,2010,3,31,3,1,15,33,185,2,3,48.166666666666664,3,23,0,1,0,"ARI, CAR, PIT",45.5,6.1,9.1,5.6,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-35.8,-87.9,-78.0
Brock Berlin,2007,2008,2,27,2,1,18,31,159,0,1,51.5,0,0,0,1,0,STL,58.1,0.0,3.2,5.1,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-31.3,-89.6,-100.0
Brock Huard,2000,2003,3,27,8,4,60,107,689,4,2,87.3,15,80,0,4,0,"IND, SEA",56.1,3.7,1.9,6.4,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,17.8,-53.1,-53.4
Brock Osweiler,2012,2018,7,28,49,30,697,1165,7418,37,31,78.25714285714285,79,559,15,15,0,"DEN, HOU, MIA",59.8,3.2,2.7,6.4,50.0,4.2,Unranked,119,2015-2017,77.0,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-3.3,327.1,245.8
Brock Purdy,2022,2023,2,24,25,21,422,614,5654,44,15,110.15,39,237,17,4,0,SFO,68.7,7.2,2.4,9.2,81.0,8.6,Unranked,87,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,36.1,225.6,311.2
Brodie Croyle,2006,2010,5,27,18,10,181,319,1669,8,9,56.260000000000005,26,168,0,10,0,KAN,56.7,2.5,2.8,5.2,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-25.0,9.1,-11.9
Brooks Bollinger,2004,2008,5,29,21,10,211,360,2226,9,9,74.72,49,301,2,8,0,"DAL, MIN, NYJ",58.6,2.5,2.5,6.2,20.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-0.4,45.5,-0.9
Bruce Gradkowski,2006,2012,7,29,36,20,375,709,4057,21,24,56.04285714285714,53,333,6,14,0,"CIN, CLE, OAK, TAM",52.9,3.0,3.4,5.7,30.0,0.0,Unranked,172,2006-2010,70.9,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-25.3,165.2,131.3
Bryce Perkins,2022,2022,1,26,5,1,19,34,161,1,2,53.7,6,50,0,1,0,LAR,55.9,2.9,5.9,4.7,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-33.6,-90.7,-90.7
Bryce Petty,2016,2017,2,26,10,7,130,245,1353,4,10,57.55,21,134,1,6,0,NYJ,53.1,1.6,4.1,5.5,14.3,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-28.9,-22.1,-62.6
Bryce Young,2023,2023,1,22,16,16,315,527,2877,11,10,73.7,62,477,2,14,0,CAR,59.8,2.1,1.9,5.5,12.5,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-8.9,65.7,2.8
Bubby Brister,2000,2000,1,38,2,0,10,20,82,0,1,40.0,1,6,0,0,0,MIN,50.0,0.0,5.0,4.1,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-46.0,-94.4,-100.0
Byron Leftwich,2003,2012,9,32,60,50,930,1605,10532,58,42,77.77777777777777,92,452,24,26,0,"ATL, JAX, PIT, TAM",57.9,3.6,2.6,6.6,48.0,7.9,Unranked,90,2004-2006,83.5,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,4.9,616.6,576.0
C.J. Beathard,2017,2023,6,30,32,13,340,563,3886,19,14,84.1,53,400,3,10,0,"JAX, SFO",60.4,3.4,2.5,6.9,23.1,1.9,Unranked,147,2017-2020,85.6,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,3.9,123.8,77.6
C.J. Stroud,2023,2023,1,22,15,15,319,499,4108,23,5,100.8,38,331,9,6,0,HOU,63.9,4.6,1.0,8.2,60.0,4.6,Unranked,115,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,24.6,136.5,115.0
Cade McNown,2000,2000,1,23,10,9,154,280,1646,8,9,68.5,27,169,1,8,0,CHI,55.0,2.9,3.2,5.9,11.1,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-7.6,12.0,-6.8
Caleb Hanie,2009,2011,3,26,10,4,59,116,679,3,10,48.93333333333334,21,148,0,4,0,CHI,50.9,2.6,8.6,5.9,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-34.8,-55.6,-67.0
Cam Newton,2011,2021,11,32,148,144,2682,4474,32382,194,123,82.72727272727273,332,2477,75,68,1,"CAR, NWE",59.9,4.3,2.7,7.2,52.4,30.7,Unranked,24,2013-2015,90.1,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,10.3,2016.4,2036.6
Cardale Jones,2016,2016,1,24,1,0,6,11,96,0,1,46.0,1,2,0,0,0,BUF,54.5,0.0,9.1,8.7,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-43.1,-94.5,-100.0
Carson Palmer,2004,2017,14,38,182,181,3941,6307,46247,294,187,86.82142857142857,340,2364,92,88,1,"ARI, CIN, OAK",62.5,4.7,3.0,7.3,51.1,45.7,Unranked,10,2014-2016,95.8,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,15.8,2922.6,3137.9
Carson Wentz,2016,2023,8,31,95,93,2073,3308,22292,153,67,90.4875,239,1533,47,45,1,"IND, LAR, PHI, WAS",62.7,4.6,2.0,6.7,51.1,20.3,Unranked,43,2017-2019,99.1,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,11.8,1183.6,1329.9
Case Keenum,2013,2023,11,35,80,66,1392,2233,15175,79,51,76.38181818181819,131,989,30,36,0,"BUF, CLE, DEN, HOU, LAR, MIN, STL, WAS",62.3,3.5,2.3,6.8,45.5,10.4,Unranked,78,2017-2019,90.3,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-5.6,773.8,638.3
Chad Henne,2008,2022,12,37,77,54,1200,2015,13290,60,63,74.91666666666667,151,942,18,36,0,"JAX, KAN, MIA",59.6,3.0,3.1,6.6,33.3,10.1,Unranked,80,2009-2011,76.5,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-0.1,768.6,560.8
Chad Hutchinson,2002,2004,3,27,15,14,220,413,2466,11,11,66.76666666666667,57,425,3,11,0,"CHI, DAL",53.3,2.7,2.7,6.0,21.4,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-9.9,67.8,28.2
Chad Pennington,2000,2010,11,34,89,81,1632,2471,17823,102,64,89.19090909090909,162,965,44,37,0,"MIA, NYJ",66.0,4.1,2.6,7.2,54.3,18.0,Unranked,47,2002-2004,92.7,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,20.3,1112.6,1088.8
Charlie Batch,2000,2012,10,38,58,33,584,1031,6950,37,39,76.00999999999999,88,482,14,19,0,"DET, PIT",56.6,3.6,3.8,6.7,42.4,4.8,Unranked,114,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,2.6,372.8,331.2
Charlie Frye,2005,2009,5,28,26,23,419,677,4154,17,29,54.7,79,487,7,16,0,"CLE, OAK, SEA",61.9,2.5,4.3,6.1,30.4,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-27.1,171.5,87.2
Charlie Whitehurst,2010,2016,5,34,21,9,219,396,2463,11,8,68.98,38,204,2,7,0,"CLE, IND, SEA, TEN",55.3,2.8,2.0,6.2,22.2,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-8.0,61.0,21.1
Chase Daniel,2010,2022,11,36,72,5,186,273,1746,9,7,89.98181818181818,27,156,2,3,0,"CHI, DET, KAN, LAC, NOR, PHI",68.1,3.3,2.6,6.4,40.0,1.2,Unranked,154,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,20.0,14.1,-0.9
Chris Chandler,2000,2004,5,39,50,42,660,1111,7619,35,45,70.02,125,811,15,27,0,"ATL, CHI, STL",59.4,3.2,4.1,6.9,35.7,5.0,Unranked,112,2000-2002,79.1,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-5.5,418.4,307.9
Chris Greisen,2000,2000,1,24,3,0,6,10,65,1,0,112.5,3,24,0,0,0,ARI,60.0,10.0,0.0,6.5,0.0,2.8,Unranked,136,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,51.8,-95.6,-88.3
Chris Redman,2000,2011,7,34,30,12,286,500,3179,21,14,70.72857142857143,34,198,4,8,0,"ATL, BAL",57.2,4.2,2.8,6.4,33.3,0.0,Unranked,172,2002-2009,81.6,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-4.6,116.3,144.8
Chris Simms,2004,2009,5,29,23,16,297,511,3117,12,18,53.040000000000006,49,361,7,9,0,"DEN, TAM, TEN",58.1,2.3,3.5,6.1,43.8,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-29.3,103.7,32.2
Chris Streveler,2020,2022,3,27,9,1,27,40,231,1,1,79.46666666666667,4,27,0,0,0,"ARI, NYJ",67.5,2.5,2.5,5.8,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-1.8,-86.7,-90.7
Chris Weinke,2001,2007,5,35,29,20,386,709,3904,15,26,66.98,47,298,2,18,0,"CAR, SFO",54.4,2.1,3.7,5.5,10.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-9.6,165.6,74.8
Christian Ponder,2011,2014,4,26,38,36,632,1057,6658,38,36,68.75,95,501,14,21,1,MIN,59.8,3.6,3.4,6.3,40.0,3.2,Unranked,132,2011-2013,76.4,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-8.3,335.2,318.5
Clayton Tune,2023,2023,1,24,7,1,12,21,62,0,2,22.6,7,41,0,1,0,ARI,57.1,0.0,9.5,3.0,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-72.1,-96.4,-100.0
Cleo Lemon,2006,2008,3,29,15,8,211,379,2185,8,7,62.73333333333333,30,190,1,7,0,"JAX, MIA",55.7,2.1,1.8,5.8,12.5,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-16.4,42.8,-11.9
Clint Stoerner,2000,2001,2,24,5,2,29,54,367,4,5,94.80000000000001,7,43,1,1,0,DAL,53.7,7.4,9.3,6.8,50.0,0.3,Unranked,167,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,27.9,-75.0,-53.4
Cody Kessler,2016,2018,3,25,17,12,224,349,2215,8,5,72.10000000000001,49,337,2,10,0,"CLE, JAX",64.2,2.3,1.4,6.3,16.7,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-10.9,27.5,-25.2
Cody Pickett,2004,2005,2,25,6,2,18,45,195,0,4,23.5,5,30,0,2,0,SFO,40.0,0.0,8.9,4.3,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-68.7,-87.3,-100.0
Colin Kaepernick,2011,2016,6,29,69,58,1011,1692,12271,72,30,87.78333333333335,171,1060,28,30,0,SFO,59.8,4.3,1.8,7.3,48.3,10.6,Unranked,76,2012-2014,92.1,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,17.0,702.0,693.0
Colt McCoy,2010,2022,11,36,55,36,764,1220,7975,34,32,88.71818181818182,113,701,11,25,0,"ARI, CLE, NYG, SFO, WAS",62.6,2.8,2.6,6.5,30.6,6.7,Unranked,97,2011-2022,82.5,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,18.3,421.2,274.4
Connor Cook,2016,2016,1,23,1,0,14,21,150,1,1,83.4,2,7,0,0,0,OAK,66.7,4.8,4.8,7.1,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,3.1,-91.4,-90.7
Connor Shaw,2014,2014,1,23,1,1,14,28,177,0,1,55.2,4,27,0,1,0,CLE,50.0,0.0,3.6,6.3,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-31.8,-89.8,-100.0
Cooper Rush,2017,2023,4,30,23,6,143,236,1619,8,5,74.925,11,76,5,1,0,DAL,60.6,3.4,2.1,6.9,83.3,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-7.4,-6.8,-25.2
Cory Sauter,2002,2002,1,28,1,0,6,9,59,0,0,85.0,4,20,0,0,0,CHI,66.7,0.0,0.0,6.6,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,14.7,-96.0,-100.0
Craig Krenzel,2004,2004,1,23,6,5,59,127,718,3,6,52.5,23,158,3,2,0,CHI,46.5,2.4,4.7,5.7,60.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-30.0,-53.1,-67.0
Craig Nall,2004,2007,2,28,6,0,30,48,402,5,0,113.5,3,18,0,0,0,GNB,62.5,10.4,0.0,8.4,0.0,4.0,Unranked,123,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,51.3,-73.7,-44.9
Curtis Painter,2009,2013,3,28,14,8,148,287,1681,6,13,31.799999999999997,20,126,0,8,0,"IND, NYG",51.6,2.1,4.5,5.9,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-57.6,9.9,-33.9
Dak Prescott,2016,2023,8,30,114,114,2595,3873,29459,202,74,98.61250000000001,235,1417,73,41,0,DAL,67.0,5.2,1.9,7.6,64.0,26.9,Unranked,26,2019-2021,101.2,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,21.9,1596.3,1787.9
Dameyune Craig,2001,2001,1,27,2,0,4,8,34,0,0,61.5,2,15,0,0,0,CAR,50.0,0.0,0.0,4.2,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-17.0,-97.7,-100.0
Damon Huard,2000,2008,5,35,44,22,443,721,4930,25,21,68.06,65,418,11,11,0,"KAN, MIA, NWE",61.4,3.5,2.9,6.8,50.0,0.9,Unranked,158,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-8.2,235.4,191.4
Dan Orlovsky,2005,2015,5,32,23,12,298,512,3132,15,13,70.74,29,182,2,10,0,"DET, IND, TAM",58.2,2.9,2.5,6.1,16.7,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-5.7,104.7,65.2
Daniel Jones,2019,2023,5,26,60,59,1221,1900,12512,62,40,83.18,179,1151,22,36,1,NYG,64.3,3.3,2.1,6.6,37.9,9.5,Unranked,84,2020-2022,85.9,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,2.8,620.4,479.4
Danny Kanell,2000,2003,2,30,10,3,110,219,966,4,10,49.35,10,84,0,3,0,"ATL, DEN",50.2,1.8,4.6,4.4,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-33.4,-34.3,-53.4
Danny Wuerffel,2002,2002,1,28,7,4,58,92,719,3,6,70.9,11,83,2,2,0,WAS,63.0,3.3,6.5,7.8,50.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-4.3,-51.1,-65.0
Daunte Culpepper,2000,2009,10,32,104,100,2016,3199,24153,149,106,81.96,298,1696,41,59,0,"DET, MIA, MIN, OAK",63.0,4.7,3.3,7.6,41.0,26.0,Unranked,30,2002-2004,94.2,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,10.6,1543.3,1636.6
